Voluntari_IdPersona;Voluntari_Sexe;Voluntari_FranjaEdat;Voluntari_Municipi;Voluntari_DataAlta;Voluntari_Estudiant;Voluntari_Treballador;Voluntari_Aturat;Voluntari_Jubilat;Voluntari_Derivats;Voluntari_Voluntaris
1135;D;3;SABADELL;2015/11/02;N;N;N;Y;4;0
1136;D;4;SABADELL;2015/11/02;N;N;N;Y;3;0
1137;D;3;SABADELL;2015/11/02;N;Y;N;N;3;0
1138;D;2;"BADIA DEL VALLÈS";2015/11/02;N;Y;N;N;4;0
1139;D;1;SABADELL;2015/11/02;N;N;N;N;5;1
1140;D;2;SABADELL;2015/11/02;N;Y;N;N;5;1
1141;D;1;VILADECAVALLS;2015/11/02;Y;N;N;N;3;0
1142;D;3;SABADELL;2015/11/02;N;Y;N;N;4;1
1143;D;1;"SANT CUGAT DEL VALLÈS";2015/11/03;Y;N;N;N;0;0
1144;D;3;SABADELL;2015/11/03;N;Y;N;N;0;0
1145;D;3;"BARBERÀ DEL VALLÈS";2015/11/03;N;Y;N;N;0;0
1146;D;3;SABADELL;2015/11/04;N;N;Y;N;0;0
1147;D;1;"CERDANYOLA DEL VALLÈS";2015/11/09;N;N;Y;N;0;0
1148;D;3;SABADELL;2015/11/10;N;N;N;Y;0;0
1149;D;3;SABADELL;2015/11/10;N;N;N;Y;0;0
1150;H;1;"CERDANYOLA DEL VALLÈS";2015/11/10;Y;N;N;N;0;0
1151;H;2;SABADELL;2015/11/10;N;N;N;Y;0;0
1152;H;3;SABADELL;2015/11/10;N;N;N;Y;2;1
1154;D;1;SABADELL;2015/11/13;Y;N;N;N;5;0
1155;H;3;SABADELL;2015/11/13;N;Y;N;N;3;0
1156;D;1;SABADELL;2015/11/16;Y;Y;N;N;1;0
1157;H;3;"CASTELLAR DEL VALLÈS";2015/11/16;N;Y;N;N;1;0
1158;D;1;SABADELL;2015/11/16;Y;Y;N;N;5;0
1159;D;3;SABADELL;2015/11/26;N;N;Y;N;4;0
1160;D;1;SABADELL;2015/12/21;Y;N;N;N;5;0
1161;D;1;SABADELL;2015/12/21;Y;N;N;N;4;0
1162;D;3;SABADELL;2015/12/22;N;N;N;Y;8;2
1163;D;2;SABADELL;2015/12/22;N;Y;N;N;7;0
1164;D;1;SABADELL;2015/12/22;N;N;Y;N;4;0
1165;D;2;SABADELL;2015/12/22;Y;N;N;N;4;0
1166;D;1;SABADELL;2015/12/22;Y;Y;N;N;5;0
1167;D;1;SABADELL;2015/12/22;Y;N;N;N;2;0
1168;D;1;SABADELL;2015/12/22;Y;N;N;N;3;0
1169;H;2;SABADELL;2015/12/22;Y;N;N;N;5;0
1170;H;3;SABADELL;2015/12/22;N;N;N;Y;0;1
1171;D;2;SABADELL;2015/12/23;N;N;Y;N;5;0
1172;H;1;"CASTELLAR DEL VALLÈS";2015/12/23;Y;N;N;N;4;1
1173;D;4;SABADELL;2015/12/23;N;N;N;Y;4;0
1174;D;2;SABADELL;2015/12/23;N;N;Y;N;5;0
1175;D;1;SABADELL;2015/12/23;Y;N;N;N;3;0
1176;H;2;SABADELL;2015/12/23;N;N;N;Y;2;0
1177;H;3;SABADELL;2015/12/23;N;N;N;Y;6;0
1178;D;3;SABADELL;2015/12/23;N;Y;N;N;3;0
1179;D;2;SABADELL;2015/12/23;N;Y;N;N;6;0
1180;D;3;SABADELL;2015/12/23;N;N;Y;N;7;0
1181;D;1;SABADELL;2015/12/23;Y;N;N;N;4;0
1182;D;1;SABADELL;2015/12/23;Y;N;N;N;9;1
1183;H;1;SABADELL;2015/12/31;Y;N;N;N;3;0
1184;D;1;SABADELL;2016/01/22;Y;N;N;N;3;1
1185;H;3;SABADELL;2016/01/22;N;N;N;Y;4;0
1186;D;3;SABADELL;2016/01/22;N;N;N;Y;3;0
1187;H;3;SABADELL;2016/01/22;N;N;N;Y;2;0
1188;D;3;SABADELL;2016/01/27;N;Y;N;N;2;0
1189;H;3;SABADELL;2016/01/27;N;N;Y;N;2;1
1190;D;3;SABADELL;2016/01/27;N;N;Y;N;9;0
1191;H;3;SABADELL;2016/01/27;N;N;N;Y;0;0
1192;D;3;SABADELL;2016/03/17;N;N;N;Y;3;0
1193;D;2;SABADELL;2016/03/17;N;Y;N;N;0;0
1194;H;1;SABADELL;2016/03/17;N;N;Y;N;4;0
1195;H;1;SABADELL;2016/04/05;N;N;Y;N;5;1
1196;D;3;SABADELL;2016/04/05;N;N;Y;N;4;0
1197;D;2;SABADELL;2016/04/05;Y;N;N;N;11;1
1198;D;3;SABADELL;2016/04/05;N;N;Y;N;5;0
1199;H;2;SABADELL;2016/04/05;N;N;Y;N;5;1
1200;D;1;SABADELL;2016/04/05;Y;N;N;N;5;0
1201;D;3;SENTMENAT;2016/04/11;N;N;Y;N;2;0
1202;D;1;SABADELL;2016/04/11;Y;N;N;N;3;0
1203;D;1;SABADELL;2016/04/11;N;Y;N;N;2;0
1204;H;3;SABADELL;2016/04/11;N;N;N;Y;2;0
1205;H;3;SABADELL;2016/04/27;N;N;N;Y;2;0
1206;D;3;SABADELL;2016/04/27;N;Y;N;N;3;0
1207;D;3;SABADELL;2016/05/10;N;N;Y;N;5;2
1208;H;3;SABADELL;2016/05/10;N;N;N;Y;6;0
1209;H;2;SABADELL;2016/05/10;N;N;Y;N;1;0
1210;D;3;SABADELL;2016/05/10;N;N;N;Y;3;0
1211;D;3;SABADELL;2016/05/10;N;N;N;Y;8;0
1213;H;3;SABADELL;2016/05/10;N;N;Y;N;4;0
1214;D;2;SABADELL;2016/05/10;N;Y;N;N;5;0
1215;D;2;SABADELL;2016/05/10;N;N;Y;N;6;0
1216;D;3;SABADELL;2016/05/10;Y;N;Y;N;2;0
1217;D;1;SABADELL;2016/05/10;Y;N;N;N;5;0
1218;D;3;SABADELL;2016/05/26;N;N;N;Y;5;0
1219;H;2;SABADELL;2016/05/26;N;Y;N;N;4;0
1220;H;3;RIALP;2016/05/26;N;N;Y;N;5;0
1221;D;1;SABADELL;2016/05/26;Y;Y;N;N;0;1
1222;D;2;SABADELL;2016/05/26;N;N;Y;N;0;0
1223;D;3;SABADELL;2016/05/26;Y;Y;N;N;0;0
1224;D;3;SABADELL;2016/05/26;N;Y;N;N;0;0
1225;H;3;SABADELL;2016/05/26;N;Y;N;N;0;0
1226;H;4;SABADELL;2016/05/26;N;N;N;Y;0;0
1227;D;4;SABADELL;2016/05/26;N;N;N;Y;0;0
1228;H;3;SABADELL;2016/05/26;N;N;N;Y;0;0
1229;D;2;SABADELL;2016/05/26;N;Y;N;N;7;0
1230;D;2;SABADELL;2016/06/06;N;Y;N;N;6;0
1231;D;2;SABADELL;2016/06/10;Y;Y;N;N;4;0
1232;D;2;SABADELL;2016/06/10;Y;Y;N;N;3;0
1233;D;2;SABADELL;2016/06/15;N;Y;N;N;4;0
1234;D;2;SABADELL;2016/06/15;N;N;N;Y;4;0
1235;H;2;"SANT QUIRZE DEL VALLÈS";2016/06/15;N;N;N;Y;3;0
1236;H;3;SABADELL;2016/06/15;N;N;Y;N;6;1
1237;D;2;SABADELL;2016/06/16;N;N;Y;N;0;0
1238;H;2;SABADELL;2016/06/16;N;N;N;Y;7;0
1239;D;3;SABADELL;2016/06/16;N;N;Y;N;5;0
1240;D;4;SABADELL;2016/06/16;N;N;N;Y;4;0
1241;D;3;SABADELL;2016/06/16;N;Y;N;N;5;0
1242;D;2;SABADELL;2016/06/16;N;Y;N;N;2;0
1243;D;2;TERRASSA;2016/06/16;Y;N;N;N;4;0
1244;H;3;SABADELL;2016/06/16;N;N;N;Y;6;0
1245;D;1;"CASTELLAR DEL VALLÈS";2016/06/16;Y;N;N;N;5;0
1246;D;2;"CASTELLAR DEL VALLÈS";2016/06/17;N;Y;N;N;4;0
1247;H;3;SABADELL;2016/06/17;N;Y;N;N;5;0
1248;D;1;SABADELL;2016/06/20;Y;N;N;N;3;1
1249;D;1;SABADELL;2016/06/21;N;N;N;N;1;0
1250;H;4;SABADELL;2016/06/21;N;N;N;Y;3;0
1251;D;3;SABADELL;2016/06/21;N;N;N;Y;6;3
1252;D;2;SABADELL;2016/06/21;N;Y;N;N;6;0
1253;H;2;SABADELL;2016/06/21;N;N;Y;N;0;0
1254;D;2;SABADELL;2016/06/21;Y;N;N;N;0;0
1255;D;2;SABADELL;2016/06/21;N;Y;N;N;4;1
1256;H;1;"SANT CUGAT DEL VALLÈS";2016/06/21;Y;N;N;N;0;0
1257;D;2;SABADELL;2016/06/21;Y;N;Y;N;0;0
1258;D;3;SABADELL;2016/06/21;N;Y;N;N;0;0
1259;D;4;SABADELL;2016/06/22;N;N;N;Y;2;0
1260;H;3;SABADELL;2016/06/22;N;N;Y;N;0;0
1261;D;3;SABADELL;2016/06/22;N;N;Y;N;0;0
1262;D;3;SABADELL;2016/06/22;N;N;Y;N;0;0
1263;D;1;"BARBERÀ DEL VALLÈS";2016/06/22;Y;N;N;N;0;0
1264;D;3;SABADELL;2016/06/22;N;Y;N;N;0;0
1265;D;3;SABADELL;2016/06/22;N;Y;N;N;0;0
1267;D;1;SABADELL;2016/06/23;Y;N;N;N;4;0
1268;D;2;SABADELL;2016/06/23;N;Y;N;N;3;2
1269;D;1;SABADELL;2016/06/23;Y;N;N;N;3;0
1270;D;1;"SANT QUIRZE DEL VALLÈS";2016/07/12;Y;N;N;N;2;0
1271;D;2;SABADELL;2016/07/12;Y;N;Y;N;6;0
1272;D;2;SABADELL;2016/07/12;N;Y;N;N;2;0
1273;D;3;SABADELL;2016/07/13;N;N;N;Y;2;0
1274;H;2;SABADELL;2016/07/13;N;N;Y;N;3;0
1275;D;1;SABADELL;2016/07/13;Y;N;N;N;3;0
1276;D;3;SABADELL;2016/07/13;N;N;Y;N;4;0
1277;D;1;SABADELL;2016/07/18;Y;N;N;N;4;0
1278;D;2;SABADELL;2016/07/19;N;Y;N;N;3;0
1279;H;1;SABADELL;2016/07/19;Y;N;N;N;2;0
1280;D;0;SABADELL;2016/12/19;N;Y;N;N;7;0
1281;H;0;SABADELL;2016/12/19;Y;N;N;N;3;0
1282;H;0;SABADELL;2016/12/19;N;N;Y;N;2;0
1283;D;0;SABADELL;2016/12/19;Y;N;N;N;2;0
1284;H;0;"CERDANYOLA DEL VALLÈS";2016/12/19;N;N;Y;N;4;0
1285;H;0;SABADELL;2016/12/20;Y;N;N;N;4;0
1286;H;0;SABADELL;2016/12/20;Y;Y;N;N;4;1
1287;D;0;SABADELL;2016/12/20;N;Y;N;N;3;0
1288;D;0;SABADELL;2016/12/21;N;Y;N;N;5;1
1289;D;0;SABADELL;2016/12/22;N;N;Y;N;6;0
1290;H;0;SABADELL;2016/12/22;N;N;N;Y;4;1
1291;D;0;SABADELL;2016/12/22;N;Y;N;N;4;0
1292;D;0;SABADELL;2016/12/22;N;N;Y;N;1;1
1293;D;0;SABADELL;2016/12/22;N;N;N;Y;6;0
1294;D;0;BARCELONA;2016/12/22;N;Y;N;N;5;0
1295;D;0;"BADIA DEL VALLÈS";2016/12/22;N;Y;N;N;5;0
1296;D;0;SABADELL;2016/12/22;Y;N;N;N;7;0
1297;D;0;SABADELL;2016/12/22;N;Y;N;N;2;0
1298;D;0;SABADELL;2016/12/31;N;Y;N;N;5;0
1299;D;0;SABADELL;2016/12/31;N;Y;N;N;4;2
1300;D;0;SABADELL;2016/12/31;N;N;Y;N;4;1
1301;D;0;SABADELL;2016/12/31;N;Y;N;N;3;0
1302;D;0;SABADELL;2016/12/31;N;Y;N;N;5;0
1303;H;0;"SANT QUIRZE DEL VALLÈS";2016/12/31;N;N;N;N;0;0
1304;H;0;SABADELL;2016/12/31;N;N;N;N;0;0
1305;D;0;SABADELL;2016/12/31;N;N;N;N;0;0
1306;D;0;SABADELL;2016/12/31;N;Y;N;N;0;1
1307;H;0;SABADELL;2016/12/31;N;N;N;N;0;0
1308;D;0;SABADELL;2016/12/31;Y;N;N;N;1;1
1309;D;0;"CASTELLAR DEL VALLÈS";2016/12/31;Y;N;N;N;0;0
1310;H;0;"SANT CUGAT DEL VALLÈS";2016/12/31;N;N;N;N;0;0
1311;D;0;SABADELL;2016/12/31;Y;N;N;N;0;0
1312;D;0;SABADELL;2016/12/31;N;Y;N;N;0;0
1313;D;0;SABADELL;2016/12/31;N;N;Y;N;0;0
1314;H;0;SABADELL;2016/12/31;N;Y;N;N;0;0
1315;D;0;SABADELL;2016/12/31;N;N;N;N;0;0
1316;D;0;RIPOLLET;2016/12/31;N;Y;N;N;0;0
1317;D;0;SABADELL;2016/12/31;N;N;N;Y;0;0
1318;D;0;SABADELL;2016/12/31;N;Y;N;N;6;0
1319;D;0;SABADELL;2016/12/31;Y;N;N;N;7;0
1320;H;0;SABADELL;2016/12/31;Y;N;Y;N;7;0
1321;H;0;SABADELL;2016/12/31;N;Y;N;N;1;0
1322;D;0;SABADELL;2016/12/31;Y;Y;N;N;3;1
1323;H;0;SABADELL;2016/12/31;N;N;N;Y;5;1
1324;D;0;SABADELL;2016/12/31;N;Y;N;N;3;1
1325;D;0;SABADELL;2016/12/31;N;Y;N;N;2;0
1326;D;0;SABADELL;2016/12/31;N;N;Y;N;1;0
1327;D;0;SABADELL;2016/12/31;Y;N;N;N;1;0
1328;D;0;SABADELL;2016/12/31;N;N;N;Y;3;0
1329;D;0;SABADELL;2016/12/31;N;N;Y;N;3;0
1330;D;0;SABADELL;2016/12/31;Y;N;N;N;5;0
1331;D;0;SABADELL;2016/12/31;N;Y;N;N;4;1
1332;H;0;SABADELL;2016/12/31;N;Y;N;N;5;0
1333;H;0;"CASTELLAR DEL VALLÈS";2016/12/31;N;N;Y;N;0;0
1334;D;0;SABADELL;2016/12/31;N;N;N;Y;3;0
1335;D;0;SABADELL;2016/12/31;N;Y;N;N;6;0
1336;D;0;SABADELL;2016/12/31;N;N;N;Y;2;1
1337;D;0;SABADELL;2016/12/31;N;N;N;Y;1;1
1338;H;0;SABADELL;2016/12/31;N;N;Y;N;4;0
1339;D;0;SABADELL;2017/01/25;N;N;Y;N;5;0
1340;H;0;SABADELL;2016/12/31;N;Y;N;N;5;1
1341;D;0;SABADELL;2016/12/31;N;Y;N;N;4;0
1342;D;0;SABADELL;2016/12/31;N;Y;N;N;5;0
1343;D;0;SABADELL;2016/12/31;Y;N;N;N;5;0
1344;D;0;SABADELL;2016/12/31;N;Y;N;N;5;1
1345;D;0;SABADELL;2016/12/31;N;Y;N;N;4;0
1346;D;0;SABADELL;2016/12/31;Y;N;N;N;5;0
1347;D;0;SABADELL;2016/12/31;N;N;Y;N;4;0
1348;H;0;SABADELL;2016/12/31;Y;N;N;N;3;0
1349;D;0;SABADELL;2016/12/31;N;Y;N;N;6;0
1350;D;0;SABADELL;2017/01/26;N;Y;N;N;4;0
1352;D;0;SABADELL;2017/01/27;N;Y;N;N;6;1
1353;D;0;SABADELL;2017/01/27;N;N;Y;N;6;2
1354;D;0;SABADELL;2017/01/30;N;N;N;Y;4;0
1355;D;0;SABADELL;2017/01/30;N;Y;N;N;6;0
1356;D;0;SABADELL;2017/01/30;N;N;N;Y;3;0
1357;D;0;SABADELL;2017/01/30;N;Y;N;N;5;0
1358;H;0;SABADELL;2017/01/30;N;N;Y;N;2;0
1359;D;0;SABADELL;2017/01/30;N;N;N;Y;5;0
1360;D;0;SABADELL;2017/03/17;Y;N;N;N;5;0
1362;H;0;SABADELL;2017/03/17;N;N;N;Y;4;0
1363;D;0;SABADELL;2017/03/17;N;Y;N;N;5;0
1364;H;0;SABADELL;2017/03/17;N;N;N;Y;3;1
1365;D;0;SABADELL;2017/03/17;N;N;N;Y;5;1
1366;D;0;SABADELL;2017/03/17;N;Y;N;N;8;0
1367;D;0;SABADELL;2017/03/17;N;Y;N;N;4;0
1368;D;0;SABADELL;2017/03/17;N;N;Y;N;5;1
1369;H;0;SABADELL;2017/03/31;N;Y;N;N;3;1
1370;D;0;SABADELL;2017/04/06;N;Y;N;N;3;0
1371;D;0;"CASTELLAR DEL VALLÈS";2017/04/06;Y;N;N;N;4;0
1372;D;0;SABADELL;2017/04/06;Y;Y;N;N;1;0
1373;D;0;SABADELL;2017/04/06;N;Y;N;N;4;0
1374;D;0;SABADELL;2017/04/06;N;Y;N;N;3;0
1375;D;0;"CASTELLAR DEL VALLÈS";2017/04/06;N;N;N;Y;3;0
1376;H;0;SABADELL;2017/04/06;N;N;Y;N;5;0
1377;D;0;"SANT QUIRZE DEL VALLÈS";2017/04/07;Y;N;N;N;4;0
1378;D;0;SABADELL;2017/04/10;N;N;Y;N;0;0
1379;D;0;SABADELL;2017/04/10;N;N;N;Y;0;0
1380;D;0;SABADELL;2017/04/10;N;N;N;Y;5;0
1381;D;0;SABADELL;2017/04/10;N;Y;N;N;0;0
1382;D;0;SABADELL;2017/04/10;N;N;N;Y;0;0
1383;D;0;SABADELL;2017/04/10;N;N;Y;N;0;0
1384;H;0;SABADELL;2017/04/10;N;N;Y;N;0;0
1385;D;0;SABADELL;2017/04/10;N;N;Y;N;0;0
1386;D;0;SABADELL;2017/04/10;N;Y;N;N;5;0
1387;D;0;SABADELL;2017/04/10;N;N;Y;N;7;0
1388;D;0;SENTMENAT;2017/05/05;N;N;N;Y;3;0
1389;D;0;SABADELL;2017/05/11;Y;N;N;N;3;0
1390;D;0;SABADELL;2017/05/16;Y;N;N;N;5;0
1391;D;0;SABADELL;2017/05/16;N;N;Y;N;6;0
1392;D;0;SABADELL;2017/05/16;N;Y;N;N;4;0
1393;H;0;"CERDANYOLA DEL VALLÈS";2017/05/16;N;Y;N;N;4;1
1394;D;0;SABADELL;2017/06/28;N;Y;N;N;7;0
1395;H;0;SABADELL;2017/06/29;N;N;N;Y;5;0
1396;D;0;SABADELL;2017/06/30;N;Y;N;N;6;0
1397;D;0;SABADELL;2017/06/30;Y;N;N;N;6;0
1398;D;0;SABADELL;2017/06/30;Y;N;N;N;3;0
1399;H;0;SABADELL;2017/06/30;Y;N;N;N;3;1
1400;H;0;SABADELL;2017/07/12;N;N;N;Y;3;0
1401;H;0;SABADELL;2017/07/12;Y;N;N;N;3;0
1402;H;0;BARCELONA;2017/07/12;N;N;N;Y;3;0
1403;D;0;SABADELL;2017/09/18;N;Y;N;N;3;0
1404;H;0;SABADELL;2017/09/18;Y;N;N;N;3;0
1405;D;0;SABADELL;2017/10/10;N;N;N;Y;3;0
1406;D;0;SABADELL;2017/10/18;N;N;N;N;6;0
1407;H;0;SABADELL;2017/10/26;N;Y;N;N;3;0
1408;H;0;SABADELL;2017/10/26;N;N;Y;N;1;0
1409;D;0;SABADELL;2017/10/27;N;Y;N;N;8;0
1410;D;0;"BADIA DEL VALLÈS";2017/11/06;Y;N;N;N;3;0
1411;D;0;SABADELL;2017/11/09;Y;Y;N;N;5;0
1412;D;0;SABADELL;2017/11/09;N;Y;N;N;4;0
1413;D;0;SABADELL;2017/11/09;N;N;N;Y;5;0
1414;H;0;SABADELL;2017/11/09;Y;N;N;N;2;0
1415;D;0;SABADELL;2017/11/21;Y;N;N;N;3;0
1416;H;0;SABADELL;2017/11/27;N;N;N;Y;4;0
1417;D;0;SENTMENAT;2017/11/27;N;Y;N;N;4;0
1418;H;0;SABADELL;2017/11/27;N;Y;N;N;0;0
1419;D;0;SABADELL;2017/11/27;Y;N;N;N;3;0
1420;D;0;SABADELL;2017/11/27;N;Y;N;N;6;0
1421;D;0;SABADELL;2017/11/27;N;Y;N;N;6;0
1422;D;0;SABADELL;2017/11/27;N;N;N;N;3;0
1423;D;0;SABADELL;2017/11/27;N;N;Y;N;6;0
1424;H;0;"SANT QUIRZE DEL VALLÈS";2017/11/27;N;N;Y;N;3;0
1425;D;0;SABADELL;2017/12/01;Y;Y;N;N;0;0
1426;H;0;SABADELL;2017/12/01;N;N;Y;N;0;0
1427;H;0;SABADELL;2017/12/01;N;Y;N;N;0;0
1428;D;0;SABADELL;2017/12/01;N;Y;N;N;0;0
1429;D;0;SABADELL;2017/12/01;N;N;Y;N;4;0
1430;D;0;SABADELL;2017/12/01;Y;N;N;N;0;0
1431;H;0;SABADELL;2017/12/01;N;N;N;Y;0;0
1432;H;0;SABADELL;2017/12/01;N;Y;N;N;0;0
1433;D;0;SABADELL;2017/12/01;N;N;N;Y;0;0
1434;D;0;SABADELL;2017/12/01;N;N;N;Y;0;0
1435;H;0;SABADELL;2017/12/01;N;Y;N;N;0;0
1436;D;0;SABADELL;2017/12/04;N;N;Y;N;0;0
1437;H;0;TERRASSA;2017/12/04;Y;Y;N;N;0;0
1438;D;0;SABADELL;2016/10/25;Y;N;N;N;4;0
1439;H;0;SABADELL;2017/12/05;N;N;N;N;0;0
1440;D;0;SABADELL;2017/12/05;Y;N;N;N;0;0
1441;H;0;SABADELL;2017/12/05;Y;N;N;N;0;0
1443;H;0;SABADELL;2016/10/25;Y;N;N;N;0;0
1444;D;0;SABADELL;2016/10/25;Y;N;N;N;0;0
1445;H;0;SABADELL;2017/12/05;N;N;Y;N;2;0
1446;D;0;"SANTA PERPÈTUA DE MOGODA";2017/12/05;N;Y;N;N;4;0
1447;H;0;SABADELL;2017/12/05;N;Y;N;N;6;0
1448;D;0;"BARBERÀ DEL VALLÈS";2017/12/14;Y;N;N;N;5;0
1449;D;0;SABADELL;2017/12/14;N;Y;N;N;3;0
1450;D;0;SABADELL;2017/12/18;Y;N;N;N;3;0
1451;D;0;SABADELL;2017/12/18;Y;N;N;N;1;0
1452;H;0;SABADELL;2017/12/18;N;N;N;Y;3;0
1453;D;0;SABADELL;2017/12/18;N;Y;N;N;2;1
1454;D;0;SABADELL;2017/12/18;N;Y;N;N;5;0
1455;D;0;"BADIA DEL VALLÈS";2017/12/18;Y;Y;N;N;4;0
1456;D;0;SABADELL;2017/12/22;N;N;Y;N;2;0
1457;D;0;TERRASSA;2017/12/22;Y;N;N;Y;3;0
1458;H;0;SABADELL;2017/12/22;Y;N;N;N;3;0
1459;D;0;SABADELL;2017/12/22;N;N;Y;N;7;0
1460;H;0;SABADELL;2017/12/22;N;N;N;Y;4;0
1461;D;0;SABADELL;2017/12/22;N;N;Y;N;3;0
1462;D;0;SABADELL;2017/11/29;N;N;N;Y;0;0
1463;H;0;SABADELL;2017/11/29;Y;Y;N;N;0;0
1464;H;0;"PARETS DEL VALLÈS";2017/11/29;N;N;N;Y;0;0
1465;D;0;SABADELL;2017/11/29;N;N;N;Y;0;0
1466;D;0;"SANT CUGAT DEL VALLÈS";2017/11/29;N;N;N;Y;0;0
1467;D;0;BARCELONA;2017/11/29;N;N;N;Y;0;0
1468;D;0;SABADELL;2016/10/25;Y;N;N;N;0;0
1469;D;0;SABADELL;2017/11/02;Y;N;N;N;4;0
1470;D;0;SABADELL;2017/10/19;Y;N;N;N;3;0
1471;H;0;SABADELL;2018/01/24;Y;N;N;N;0;0
1472;D;0;SABADELL;2018/01/24;N;N;Y;N;6;0
1473;D;0;SABADELL;2018/01/24;N;Y;N;N;1;0
1474;D;0;SABADELL;2018/01/24;N;Y;N;N;4;0
1475;D;0;SABADELL;2018/01/25;N;Y;N;N;5;0
1476;D;0;SABADELL;2018/01/25;N;Y;N;N;4;1
1477;D;0;SABADELL;2018/01/25;Y;N;N;N;6;0
1478;H;0;SABADELL;2018/01/26;N;N;Y;N;5;0
1479;D;0;SABADELL;2018/02/08;N;Y;N;N;10;0
1480;H;0;SABADELL;2018/02/19;N;Y;N;N;3;0
1481;D;0;SABADELL;2018/02/28;Y;N;N;N;2;0
1482;D;0;SABADELL;2018/02/28;Y;N;N;N;2;0
1483;H;0;SABADELL;2018/02/28;Y;N;N;N;2;0
1484;D;0;SABADELL;2018/02/28;N;Y;N;N;2;0
1485;D;0;SABADELL;2018/02/28;N;N;Y;N;4;0
1486;D;0;SABADELL;2018/02/28;N;N;N;Y;3;0
1487;D;0;SABADELL;2018/02/28;Y;N;N;N;4;0
1488;D;0;SABADELL;2018/02/28;N;N;N;Y;1;0
1489;H;0;SABADELL;2018/03/20;Y;N;N;N;6;0
1490;D;0;SABADELL;2018/03/20;Y;N;N;N;3;0
1491;D;0;SABADELL;2018/03/20;N;Y;N;N;5;0
1492;H;0;SABADELL;2018/04/12;N;N;N;Y;4;0
1493;D;0;SABADELL;2018/04/12;N;N;Y;N;4;0
1494;D;0;SABADELL;2018/04/12;Y;N;N;N;5;0
1495;D;0;SABADELL;2018/04/17;Y;Y;N;N;6;0
1496;D;0;SABADELL;2018/04/17;N;N;Y;N;7;0
1497;H;0;SABADELL;2018/04/18;N;N;Y;N;3;0
1498;D;0;"CERDANYOLA DEL VALLÈS";2018/04/18;Y;N;N;N;6;0
1499;D;0;SABADELL;2018/04/18;Y;N;N;N;5;0
1500;H;0;SABADELL;2018/04/18;N;N;Y;N;5;0
1501;D;0;SABADELL;2018/04/18;Y;Y;N;N;5;0
1502;D;0;"SANT QUIRZE DEL VALLÈS";2018/04/18;Y;N;N;N;4;0
1503;D;0;"CASTELLAR DEL VALLÈS";2018/04/27;N;Y;N;N;5;0
1504;D;0;SABADELL;2018/04/27;Y;Y;N;N;4;0
1505;H;0;SABADELL;2018/04/27;N;N;N;Y;7;0
1506;D;0;SABADELL;2018/04/27;N;N;Y;N;5;0
1507;H;0;SABADELL;2018/05/02;Y;N;N;N;6;0
1508;H;0;"SANT CUGAT DEL VALLÈS";2018/05/02;N;Y;N;N;6;0
1509;D;0;SABADELL;2018/05/02;N;Y;N;N;6;0
1510;H;0;SABADELL;2018/05/07;N;N;Y;N;6;0
1511;D;0;SABADELL;2018/05/07;N;N;Y;N;5;0
1512;D;0;SABADELL;2018/05/08;N;N;Y;N;4;0
1513;D;0;SABADELL;2018/05/09;N;N;Y;N;10;0
1514;D;0;SABADELL;2018/06/15;Y;N;N;N;5;0
1515;D;0;SABADELL;2018/06/15;N;Y;N;N;5;0
1516;D;0;SABADELL;2018/06/15;Y;N;N;N;0;0
1517;D;0;SABADELL;2018/06/15;N;N;Y;N;6;0
1518;H;0;SABADELL;2018/06/15;N;Y;N;N;3;0
1519;D;0;SABADELL;2018/06/15;Y;N;N;N;3;0
1520;D;0;SABADELL;2018/06/15;N;Y;N;N;0;0
1521;H;0;SABADELL;2018/06/15;N;N;N;Y;4;0
1522;D;0;"CASTELLAR DEL VALLÈS";2018/06/21;Y;Y;N;N;3;0
1523;D;0;SABADELL;2018/06/21;N;N;Y;N;3;0
1524;D;0;SABADELL;2018/07/05;N;N;Y;N;7;0
1525;D;0;SABADELL;2018/07/05;N;N;N;Y;4;0
1526;D;0;SABADELL;2018/07/05;Y;N;N;N;5;0
1527;D;0;SABADELL;2018/07/12;Y;Y;N;N;4;0
1528;D;0;SABADELL;2018/07/18;N;Y;N;N;5;0
1529;D;0;SABADELL;2018/07/18;N;Y;N;N;5;0
1530;D;0;SABADELL;2018/07/18;Y;N;N;N;3;0
1531;D;0;SABADELL;2018/07/18;N;Y;N;N;7;0
1532;H;0;"SANT QUIRZE DEL VALLÈS";2018/07/20;Y;N;N;N;4;0
1533;D;0;SABADELL;2018/07/26;N;Y;N;N;7;0
1534;H;0;SABADELL;2018/09/03;N;N;N;N;0;0
1535;D;0;SABADELL;2018/09/12;N;Y;N;N;0;0
1536;H;0;SABADELL;2018/09/13;N;N;Y;N;5;0
1537;D;0;SABADELL;2018/09/21;N;N;Y;N;4;0
1538;D;0;SABADELL;2018/09/21;N;N;Y;N;3;0
1539;D;0;SABADELL;2018/09/21;N;Y;N;N;7;0
1540;H;0;SABADELL;2018/09/24;N;Y;N;N;5;0
1541;D;0;SABADELL;2018/10/03;N;N;Y;N;9;0
1542;D;0;SABADELL;2018/10/03;N;Y;N;N;6;0
1543;D;0;SABADELL;2018/10/03;N;N;Y;N;4;0
1544;D;0;SABADELL;2018/10/03;N;N;N;Y;7;0
1545;D;0;SABADELL;2018/10/03;Y;N;N;N;5;0
