DataOficial;Districte;Sector;NombreHabitants;NombreLlars
2021/10/01;6;SUD;9674;3640
2021/10/01;7;EST;37;14
2021/10/01;7;"LA SERRA DE SANT ISCLE";9049;3267
2023/01/01;1;"EL CENTRE";37828;15002
2023/01/01;1;"SANT OLEGUER";18723;7530
2023/01/01;2;"CAN PUIGGENER";6825;2235
2023/01/01;2;"LA CREU ALTA";18761;7766
2023/01/01;2;TOGORES;44;16
2023/01/01;3;"CA N'ORIAC";19447;7349
2023/01/01;3;NORD;13470;5262
2023/01/01;3;"SANT JULIÀ D'ALTURA";68;21
2023/01/01;4;BERARDO;12306;4388
2023/01/01;4;"CAN RULL";16651;6516
2023/01/01;4;"LA CONCÒRDIA";12946;5031
2023/01/01;5;"CAN FEU";10527;4151
2023/01/01;5;GRÀCIA;10433;4188
2023/01/01;5;OEST;43;17
2023/01/01;6;"LA CREU DE BARBERÀ";21296;8155
2023/01/01;6;"SANT PAU DE RIU-SEC";17;7
2023/01/01;6;SUD;9854;3636
2023/01/01;7;EST;40;18
2023/01/01;7;"LA SERRA DE SANT ISCLE";9066;3289
2022/01/01;1;"EL CENTRE";37298;14761
2022/01/01;1;"SANT OLEGUER";18277;7330
2022/01/01;2;"CAN PUIGGENER";6685;2213
2022/01/01;2;"LA CREU ALTA";18433;7632
2022/01/01;2;TOGORES;44;15
2022/01/01;3;"CA N'ORIAC";19345;7292
2022/01/01;3;NORD;13502;5243
2022/01/01;3;"SANT JULIÀ D'ALTURA";61;22
2022/01/01;4;BERARDO;12226;4351
2022/01/01;4;"CAN RULL";16530;6452
2022/01/01;4;"LA CONCÒRDIA";12996;5037
2022/01/01;5;"CAN FEU";10287;4040
2022/01/01;5;GRÀCIA;10331;4126
2022/01/01;5;OEST;40;17
2022/01/01;6;"LA CREU DE BARBERÀ";20956;8068
2022/01/01;6;"SANT PAU DE RIU-SEC";16;8
2022/01/01;6;SUD;9604;3631
2022/01/01;7;EST;38;16
2022/01/01;7;"LA SERRA DE SANT ISCLE";9032;3276
2023/04/01;1;"EL CENTRE";38112;15085
2023/04/01;1;"SANT OLEGUER";18806;7571
2023/04/01;2;"CAN PUIGGENER";6807;2241
2023/04/01;2;"LA CREU ALTA";18865;7796
2023/04/01;2;TOGORES;43;16
2023/04/01;3;"CA N'ORIAC";19606;7398
2023/04/01;3;NORD;13490;5261
2023/04/01;3;"SANT JULIÀ D'ALTURA";68;22
2023/04/01;4;BERARDO;12316;4396
2023/04/01;4;"CAN RULL";16696;6518
2023/04/01;4;"LA CONCÒRDIA";13036;5050
2023/04/01;5;"CAN FEU";10615;4173
2023/04/01;5;GRÀCIA;10438;4183
2023/04/01;5;OEST;42;18
2023/04/01;6;"LA CREU DE BARBERÀ";21469;8207
2023/04/01;6;"SANT PAU DE RIU-SEC";17;7
2023/04/01;6;SUD;9946;3657
2023/04/01;7;EST;38;17
2023/04/01;7;"LA SERRA DE SANT ISCLE";9130;3285
2022/04/01;1;"EL CENTRE";37520;14831
2022/04/01;1;"SANT OLEGUER";18485;7408
2022/04/01;2;"CAN PUIGGENER";6740;2221
2022/04/01;2;"LA CREU ALTA";18528;7658
2022/04/01;2;TOGORES;44;15
2022/04/01;3;"CA N'ORIAC";19392;7315
2022/04/01;3;NORD;13512;5259
2022/04/01;3;"SANT JULIÀ D'ALTURA";68;21
2022/04/01;4;BERARDO;12235;4357
2022/04/01;4;"CAN RULL";16558;6468
2022/04/01;4;"LA CONCÒRDIA";12973;5034
2022/04/01;5;"CAN FEU";10411;4080
2022/04/01;5;GRÀCIA;10398;4153
2022/04/01;5;OEST;40;18
2022/04/01;6;"LA CREU DE BARBERÀ";21066;8086
2022/04/01;6;"SANT PAU DE RIU-SEC";15;7
2022/04/01;6;SUD;9681;3638
2022/04/01;7;EST;39;17
2022/04/01;7;"LA SERRA DE SANT ISCLE";9038;3280
2023/07/01;1;"EL CENTRE";38647;15209
2023/07/01;1;"SANT OLEGUER";18962;7623
2023/07/01;2;"CAN PUIGGENER";6878;2263
2023/07/01;2;"LA CREU ALTA";19080;7873
2023/07/01;2;TOGORES;43;16
2023/07/01;3;"CA N'ORIAC";19805;7414
2023/07/01;3;NORD;13582;5276
2023/07/01;3;"SANT JULIÀ D'ALTURA";68;22
2023/07/01;4;BERARDO;12357;4410
2023/07/01;4;"CAN RULL";16827;6553
2023/07/01;4;"LA CONCÒRDIA";13077;5068
2023/07/01;5;"CAN FEU";10779;4224
2023/07/01;5;GRÀCIA;10467;4178
2023/07/01;5;OEST;44;19
2023/07/01;6;"LA CREU DE BARBERÀ";21650;8232
2023/07/01;6;"SANT PAU DE RIU-SEC";22;7
2023/07/01;6;SUD;10033;3677
2023/07/01;7;EST;38;17
2023/07/01;7;"LA SERRA DE SANT ISCLE";9237;3304
2022/07/01;1;"EL CENTRE";37645;14892
2022/07/01;1;"SANT OLEGUER";18538;7458
2022/07/01;2;"CAN PUIGGENER";6772;2235
2022/07/01;2;"LA CREU ALTA";18600;7693
2022/07/01;2;TOGORES;41;15
2022/07/01;3;"CA N'ORIAC";19438;7332
2022/07/01;3;NORD;13491;5264
2022/07/01;3;"SANT JULIÀ D'ALTURA";68;21
2022/07/01;4;BERARDO;12247;4368
2022/07/01;4;"CAN RULL";16654;6503
2022/07/01;4;"LA CONCÒRDIA";12949;5038
2022/07/01;5;"CAN FEU";10478;4093
2022/07/01;5;GRÀCIA;10427;4172
2022/07/01;5;OEST;40;18
2022/07/01;6;"LA CREU DE BARBERÀ";21168;8129
2022/07/01;6;"SANT PAU DE RIU-SEC";15;7
2022/07/01;6;SUD;9728;3632
2022/07/01;7;EST;43;18
2022/07/01;7;"LA SERRA DE SANT ISCLE";9076;3300
