DataOficial;Districte;Sector;TotalHomes;TotalDones;TotalNacionals;TotalComunitaris;TotalEstrangers
2021/01/01;4;"LA CONCÒRDIA";6311;6856;11442;180;1545
2021/01/01;5;"CAN FEU";5090;5168;8621;272;1365
2021/01/01;5;GRÀCIA;5009;5240;9120;214;915
2021/01/01;5;OEST;24;15;36;0;3
2021/01/01;6;"LA CREU DE BARBERÀ";10348;10865;16857;473;3883
2021/01/01;6;"SANT PAU DE RIU-SEC";10;6;15;0;1
2021/01/01;6;SUD;4757;4828;7360;169;2056
2021/01/01;7;EST;24;13;29;3;5
2021/01/01;7;"LA SERRA DE SANT ISCLE";4545;4471;7482;164;1370
2021/04/01;1;"EL CENTRE";17718;19576;34337;649;2308
2021/04/01;1;"SANT OLEGUER";8644;9574;16254;372;1592
2021/04/01;2;"CAN PUIGGENER";3407;3244;4725;123;1803
2021/04/01;2;"LA CREU ALTA";8800;9736;16658;300;1578
2021/04/01;2;TOGORES;19;20;34;0;5
2021/04/01;3;"CA N´ORIAC";9586;9963;16247;302;3000
2021/04/01;3;NORD;6709;7023;12327;208;1197
2021/04/01;3;"SANT JULIÀ D´ALTURA";27;31;54;3;1
2021/04/01;4;BERARDO;5952;6079;11508;148;375
2021/04/01;4;"CAN RULL";8211;8544;14322;462;1971
2021/04/01;4;"LA CONCÒRDIA";6321;6874;11445;184;1566
2021/04/01;5;"CAN FEU";5122;5196;8665;273;1380
2021/04/01;5;GRÀCIA;5040;5246;9160;223;903
2021/04/01;5;OEST;23;15;36;0;2
2021/04/01;6;"LA CREU DE BARBERÀ";10354;10844;16865;469;3864
2021/04/01;6;"SANT PAU DE RIU-SEC";8;6;13;0;1
2021/04/01;6;SUD;4795;4830;7390;177;2058
2021/04/01;7;EST;26;13;29;3;7
2021/04/01;7;"LA SERRA DE SANT ISCLE";4549;4461;7487;161;1362
2012/01/01;1;"EL CENTRE";15500;17325;30789;477;1559
2012/01/01;1;"SANT OLEGUER";9327;10013;17274;389;1677
2012/01/01;2;"CAN PUIGGENER";3487;3133;4533;119;1968
2012/01/01;2;"LA CREU ALTA";8469;9474;16219;198;1526
2012/01/01;2;TOGORES;15;20;35;0;0
2012/01/01;3;"CA N´ORIAC";9587;9986;16832;282;2459
2012/01/01;3;NORD;7045;7157;12929;244;1029
2012/01/01;3;"SANT JULIÀ D´ALTURA";663;652;1288;7;20
2012/01/01;4;BERARDO;4201;4076;7972;73;232
2012/01/01;4;"CAN RULL";8495;8720;14941;408;1866
2012/01/01;4;"LA CONCÒRDIA";6291;6841;11359;166;1607
2012/01/01;5;"CAN FEU";4716;4813;8247;174;1108
2012/01/01;5;GRÀCIA;4655;4934;8781;174;634
2012/01/01;5;OEST;30;22;48;0;4
2012/01/01;6;"LA CREU DE BARBERÀ";10032;10294;16527;410;3389
2012/01/01;6;"SANT PAU DE RIU-SEC";7;12;16;1;2
2012/01/01;6;SUD;4795;4783;7518;249;1811
2012/01/01;7;EST;16;13;29;0;0
2012/01/01;7;"LA SERRA DE SANT ISCLE";4331;4220;7180;171;1200
2021/07/01;1;"EL CENTRE";17705;19526;34309;650;2272
2021/07/01;1;"SANT OLEGUER";8648;9580;16282;374;1572
2021/07/01;2;"CAN PUIGGENER";3405;3246;4751;129;1771
2021/07/01;2;"LA CREU ALTA";8809;9716;16655;302;1568
2021/07/01;2;TOGORES;22;19;34;0;7
2021/07/01;3;"CA N´ORIAC";9533;9911;16219;297;2928
2021/07/01;3;NORD;6657;6972;12265;207;1157
2021/07/01;3;"SANT JULIÀ D´ALTURA";26;33;55;3;1
2021/07/01;4;BERARDO;5988;6134;11597;144;381
2021/07/01;4;"CAN RULL";8157;8534;14291;449;1951
2021/07/01;4;"LA CONCÒRDIA";6308;6839;11395;180;1572
2021/07/01;5;"CAN FEU";5124;5188;8670;270;1372
2021/07/01;5;GRÀCIA;5065;5288;9234;222;897
2021/07/01;5;OEST;22;16;35;0;3
2021/07/01;6;"LA CREU DE BARBERÀ";10309;10805;16835;460;3819
2021/07/01;6;"SANT PAU DE RIU-SEC";8;6;13;0;1
2021/07/01;6;SUD;4786;4863;7415;176;2058
2021/07/01;7;EST;24;13;27;3;7
2021/07/01;7;"LA SERRA DE SANT ISCLE";4561;4485;7523;154;1369
2022/10/01;1;"EL CENTRE";17904;19749;34430;648;2575
2022/10/01;1;"SANT OLEGUER";8853;9823;16611;390;1675
2022/10/01;2;"CAN PUIGGENER";3483;3295;4860;121;1797
2022/10/01;2;"LA CREU ALTA";8832;9822;16718;298;1638
2022/10/01;2;TOGORES;23;22;38;0;7
2022/10/01;3;"CA N'ORIAC";9559;9945;16203;272;3029
2022/10/01;3;NORD;6538;6958;12075;197;1224
2022/10/01;3;"SANT JULIÀ D'ALTURA";29;39;58;3;7
2022/10/01;4;BERARDO;6045;6234;11686;150;443
2022/10/01;4;"CAN RULL";8094;8545;14154;396;2089
2022/10/01;4;"LA CONCÒRDIA";6238;6796;11216;165;1653
2022/10/01;5;"CAN FEU";5235;5261;8825;256;1415
2022/10/01;5;GRÀCIA;5077;5323;9170;218;1012
2022/10/01;5;OEST;26;17;40;0;3
2022/10/01;6;"LA CREU DE BARBERÀ";10368;10865;16794;444;3995
2022/10/01;6;"SANT PAU DE RIU-SEC";11;7;14;0;4
2022/10/01;6;SUD;4848;4913;7469;168;2124
2022/10/01;7;EST;27;13;30;0;10
2022/10/01;7;"LA SERRA DE SANT ISCLE";4604;4472;7568;162;1346
2021/10/01;1;"EL CENTRE";17729;19506;34305;649;2281
2021/10/01;1;"SANT OLEGUER";8637;9573;16315;376;1519
2021/10/01;2;"CAN PUIGGENER";3411;3243;4750;136;1768
2021/10/01;2;"LA CREU ALTA";8767;9751;16642;311;1565
2021/10/01;2;TOGORES;22;19;34;0;7
2021/10/01;3;"CA N'ORIAC";9500;9910;16185;291;2934
2021/10/01;3;NORD;6601;6946;12202;199;1146
2021/10/01;3;"SANT JULIÀ D'ALTURA";26;33;55;3;1
2021/10/01;4;BERARDO;6005;6162;11631;146;390
2021/10/01;4;"CAN RULL";8095;8499;14222;443;1929
2021/10/01;4;"LA CONCÒRDIA";6263;6802;11350;168;1547
2021/10/01;5;"CAN FEU";5121;5198;8692;266;1361
2021/10/01;5;GRÀCIA;5065;5292;9206;228;923
2021/10/01;5;OEST;22;16;35;0;3
2021/10/01;6;"LA CREU DE BARBERÀ";10271;10731;16778;459;3765
2021/10/01;6;"SANT PAU DE RIU-SEC";8;7;14;0;1
2021/10/01;6;SUD;4790;4884;7420;177;2077
2021/10/01;7;EST;24;13;27;3;7
2021/10/01;7;"LA SERRA DE SANT ISCLE";4568;4481;7520;158;1371
2023/01/01;1;"EL CENTRE";18023;19805;34517;642;2669
2023/01/01;1;"SANT OLEGUER";8868;9855;16619;401;1703
2023/01/01;2;"CAN PUIGGENER";3495;3330;4906;121;1798
2023/01/01;2;"LA CREU ALTA";8869;9892;16728;288;1745
2023/01/01;2;TOGORES;22;22;38;0;6
2023/01/01;3;"CA N'ORIAC";9530;9917;16185;257;3005
2023/01/01;3;NORD;6518;6952;12021;192;1257
2023/01/01;3;"SANT JULIÀ D'ALTURA";29;39;58;3;7
2023/01/01;4;BERARDO;6068;6238;11680;157;469
2023/01/01;4;"CAN RULL";8099;8552;14106;395;2150
2023/01/01;4;"LA CONCÒRDIA";6187;6759;11125;165;1656
2023/01/01;5;"CAN FEU";5247;5280;8838;260;1429
2023/01/01;5;GRÀCIA;5090;5343;9157;224;1052
2023/01/01;5;OEST;27;16;39;1;3
2023/01/01;6;"LA CREU DE BARBERÀ";10401;10895;16760;434;4102
2023/01/01;6;"SANT PAU DE RIU-SEC";9;8;16;0;1
2023/01/01;6;SUD;4887;4967;7497;163;2194
2023/01/01;7;EST;26;14;30;0;10
2023/01/01;7;"LA SERRA DE SANT ISCLE";4589;4477;7544;163;1359
2022/01/01;1;"EL CENTRE";17769;19529;34341;629;2328
2022/01/01;1;"SANT OLEGUER";8658;9619;16351;378;1548
2022/01/01;2;"CAN PUIGGENER";3440;3245;4752;131;1802
2022/01/01;2;"LA CREU ALTA";8716;9717;16573;296;1564
2022/01/01;2;TOGORES;23;21;37;0;7
2022/01/01;3;"CA N'ORIAC";9473;9872;16135;273;2937
2022/01/01;3;NORD;6574;6928;12141;192;1169
2022/01/01;3;"SANT JULIÀ D'ALTURA";26;35;56;3;2
2022/01/01;4;BERARDO;6036;6190;11663;152;411
2022/01/01;4;"CAN RULL";8042;8488;14159;416;1955
2022/01/01;4;"LA CONCÒRDIA";6214;6782;11286;158;1552
2022/01/01;5;"CAN FEU";5113;5174;8672;256;1359
2022/01/01;5;GRÀCIA;5056;5275;9186;213;932
2022/01/01;5;OEST;23;17;36;0;4
2022/01/01;6;"LA CREU DE BARBERÀ";10232;10724;16745;452;3759
2022/01/01;6;"SANT PAU DE RIU-SEC";9;7;15;0;1
2022/01/01;6;SUD;4735;4869;7371;169;2064
2022/01/01;7;EST;25;13;28;3;7
2022/01/01;7;"LA SERRA DE SANT ISCLE";4568;4464;7501;160;1371
2023/04/01;1;"EL CENTRE";18174;19938;34615;612;2885
2023/04/01;1;"SANT OLEGUER";8907;9899;16624;395;1787
2023/04/01;2;"CAN PUIGGENER";3487;3320;4878;125;1804
2023/04/01;2;"LA CREU ALTA";8921;9944;16760;272;1833
2023/04/01;2;TOGORES;22;21;39;0;4
2023/04/01;3;"CA N'ORIAC";9620;9986;16230;252;3124
2023/04/01;3;NORD;6516;6974;11985;196;1309
2023/04/01;3;"SANT JULIÀ D'ALTURA";30;38;56;3;9
2023/04/01;4;BERARDO;6082;6234;11682;160;474
2023/04/01;4;"CAN RULL";8115;8581;14076;392;2228
2023/04/01;4;"LA CONCÒRDIA";6226;6810;11159;154;1723
2023/04/01;5;"CAN FEU";5309;5306;8890;257;1468
2023/04/01;5;GRÀCIA;5095;5343;9175;211;1052
2023/04/01;5;OEST;27;15;39;0;3
2023/04/01;6;"LA CREU DE BARBERÀ";10510;10959;16778;439;4252
2023/04/01;6;"SANT PAU DE RIU-SEC";10;7;16;0;1
2023/04/01;6;SUD;4954;4992;7488;156;2302
2023/04/01;7;EST;25;13;28;0;10
2023/04/01;7;"LA SERRA DE SANT ISCLE";4620;4510;7563;164;1403
2022/04/01;1;"EL CENTRE";17864;19656;34440;603;2477
2022/04/01;1;"SANT OLEGUER";8757;9728;16493;367;1625
2022/04/01;2;"CAN PUIGGENER";3480;3260;4791;127;1822
2022/04/01;2;"LA CREU ALTA";8772;9756;16641;282;1605
2022/04/01;2;TOGORES;23;21;37;0;7
2022/04/01;3;"CA N'ORIAC";9492;9900;16148;261;2983
2022/04/01;3;NORD;6578;6934;12133;190;1189
2022/04/01;3;"SANT JULIÀ D'ALTURA";29;39;57;3;8
2022/04/01;4;BERARDO;6039;6196;11654;149;432
2022/04/01;4;"CAN RULL";8074;8484;14150;407;2001
2022/04/01;4;"LA CONCÒRDIA";6200;6773;11272;156;1545
2022/04/01;5;"CAN FEU";5189;5222;8772;251;1388
2022/04/01;5;GRÀCIA;5084;5314;9205;219;974
2022/04/01;5;OEST;23;17;37;0;3
2022/04/01;6;"LA CREU DE BARBERÀ";10277;10789;16776;445;3845
2022/04/01;6;"SANT PAU DE RIU-SEC";9;6;14;0;1
2022/04/01;6;SUD;4774;4907;7399;165;2117
2022/04/01;7;EST;26;13;28;3;8
2022/04/01;7;"LA SERRA DE SANT ISCLE";4571;4467;7511;161;1366
2023/07/01;1;"EL CENTRE";18467;20180;34944;621;3082
2023/07/01;1;"SANT OLEGUER";9002;9960;16684;396;1882
2023/07/01;2;"CAN PUIGGENER";3525;3353;4921;122;1835
2023/07/01;2;"LA CREU ALTA";9023;10057;16870;276;1934
2023/07/01;2;TOGORES;22;21;39;0;4
2023/07/01;3;"CA N'ORIAC";9708;10097;16302;252;3251
2023/07/01;3;NORD;6555;7027;12019;195;1368
2023/07/01;3;"SANT JULIÀ D'ALTURA";30;38;56;2;10
2023/07/01;4;BERARDO;6099;6258;11691;168;498
2023/07/01;4;"CAN RULL";8166;8661;14141;396;2290
2023/07/01;4;"LA CONCÒRDIA";6261;6816;11149;157;1771
2023/07/01;5;"CAN FEU";5387;5392;8991;273;1515
2023/07/01;5;GRÀCIA;5110;5357;9182;219;1066
2023/07/01;5;OEST;27;17;41;0;3
2023/07/01;6;"LA CREU DE BARBERÀ";10600;11050;16866;435;4349
2023/07/01;6;"SANT PAU DE RIU-SEC";13;9;20;1;1
2023/07/01;6;SUD;5002;5031;7528;158;2347
2023/07/01;7;EST;25;13;27;0;11
2023/07/01;7;"LA SERRA DE SANT ISCLE";4671;4566;7641;165;1431
2022/07/01;1;"EL CENTRE";17907;19738;34517;610;2518
2022/07/01;1;"SANT OLEGUER";8771;9767;16567;362;1609
2022/07/01;2;"CAN PUIGGENER";3488;3284;4845;121;1806
2022/07/01;2;"LA CREU ALTA";8805;9795;16676;283;1641
2022/07/01;2;TOGORES;22;19;34;0;7
2022/07/01;3;"CA N'ORIAC";9523;9915;16189;264;2985
2022/07/01;3;NORD;6545;6946;12113;194;1184
2022/07/01;3;"SANT JULIÀ D'ALTURA";29;39;57;3;8
2022/07/01;4;BERARDO;6023;6224;11657;149;441
2022/07/01;4;"CAN RULL";8125;8529;14185;404;2065
2022/07/01;4;"LA CONCÒRDIA";6198;6751;11224;154;1571
2022/07/01;5;"CAN FEU";5237;5241;8806;248;1424
2022/07/01;5;GRÀCIA;5097;5330;9210;211;1006
2022/07/01;5;OEST;23;17;37;0;3
2022/07/01;6;"LA CREU DE BARBERÀ";10327;10841;16810;438;3920
2022/07/01;6;"SANT PAU DE RIU-SEC";9;6;14;0;1
2022/07/01;6;SUD;4826;4902;7437;159;2132
2022/07/01;7;EST;29;14;29;3;11
2022/07/01;7;"LA SERRA DE SANT ISCLE";4605;4471;7568;163;1345
